_id,co_date,co_review
65debc8910cac7425905e8a5,2020년 2월 9일,좋은 컨텐츠네요! 디자인도 깔끔하고 분명 도움이되는 분들이 많을 것 같습니다! 더 많은 데이터로 좋은 정보 알려주세요!
65debc8b10cac7425905e8a7,2020년 2월 13일,희귀질환 데이터 베이스 기반으로 다 같이 공유하고 팁을 나누기에 앞으로 발전 가능성이 커 보입니다. 또한 희귀질환 정보와 치료에 있어 크게 도움이 되어 매우 만족 스럽습니다.
65debc8d10cac7425905e8a9,2020년 2월 14일,너무 반가운앱이네요ㅠㅠ.환자들이 직접 생성한 건강 데이터를 통해 가치를 발견하고 환자들을 위한 치료제 개발과 연구에도 기여하는 플랫폼 기업인 휴먼스케이프. 희귀질환분들에겐 자류나 데이터가별로없었는데 그만큼 유용한앱이라고 생각합니다.자료도 많이많이올려주시고 빠른 업데이트 부탁드려요. 앞으로도 희귀질환 분에게 꼭 필요한 앱이되길 바랍니다.
65debc8f10cac7425905e8ab,2020년 2월 21일,사용자가 쉽게 접근할 수 있는 디자인이네요 특히 외국 희귀병질환기사를 번역해주시는게 도움이 많이됩니다
65debc9110cac7425905e8ad,2021년 10월 21일,휴먼스케이프를 통해 알게되었습니다. 제일 중요해보이는 기능은 각질환에 대한 약품이나 신약정보와 환자가 자신의 정보에 대한 권한을 가지고 있다는게 매력적이고 만족스럽네요.. 하다못해 가벼운감기만 걸려도 내가 어떤약들을 먹고있는지 성분이 궁금한데 희귀질환뿐아니라 범용적으로 확대되어도 정말 누구나 이용할수있는 보편적인 앱으로 확대할수있을거 같습니다. 이 앱은 정말 불치병 환자나 환자의 가족 지인 등에게도 도움이되고 더 나아가 예방까지 할수있는 유용한어플로 보입니다. 성장 가능성이 있어보여서 매우 기대가큽니다. 앞으로도 발전을 위해 노력해주세요 항상 응원합니다.
65debc9310cac7425905e8af,2020년 2월 13일,가족 중 희귀질환이 있는 분들이 사용하기 아주 편리하게 되어 있네요. 질환 선택할때 기타 란도 추가해주시면 더 좋을것같아요!
65debc9510cac7425905e8b1,2020년 2월 6일,"레어노트의 출시를 축하합니다^^ 저같이 건강한 사람에게는 아직 생소하지만, 곧 유전자 검사가 상용화 되면 앞으로 유익한 어플이 될 것 같습니다. 유전자 검사 및 유전자에 대하여 일반인들이 이해하기 쉽게 그림이나 동영상으로 정리된 내용도 있으면 좋을 것 같아요^^! 나중에 여러 병원들과 협약이 되면 진료내역도 자동으로 업데이트되면 좋겠네요..! 앞으로의 횡보가 기대됩니다! 휴먼 화이팅!!"
65debc9710cac7425905e8b3,2021년 3월 19일,구성은 잘 돼 있음 홍보를 꾸준히하여 이용자만 많아진다면(참여 보상도 적극 홍보) 아주 유용한 어플이 될 것 같음
65debc9a10cac7425905e8b5,2020년 2월 6일,"정말 좋은 서비스가 나왔네요. 정보를 얻기 쉽지 않았었는데, 관련 질환에 대해 궁금증이 어느정도 해소되었어요. 앞으로도 많은 도움받을 수 있을 것 같습니다. 잘 사용할게요. ^^"
65debc9c10cac7425905e8b7,2020년 2월 17일,가족 중 관련질환 가지신 분 계신데 꼭 추천드리고 싶네요. 정보도 깔끔하게 정리되어있고 사용성도 좋아보입니다.
