_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f5db5a3f17e1ea366a6,3,3회연속,고혈압,연세소망내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366a7,3,3회연속,당뇨병,연세소망내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366a8,1,최근우수,천식,연세소망내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366a9,3,3회연속,고혈압,송승찬내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366aa,2,2회연속,고혈압,푸른솔신경과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366ab,3,3회연속,당뇨병,푸른솔신경과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366ac,3,3회연속,고혈압,이·문내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366ad,2,2회연속,고혈압,153신경외과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQ0NjEwMDIjODEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366ae,3,3회연속,고혈압,어중건내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366af,3,3회연속,당뇨병,어중건내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366b0,3,3회연속,천식,어중건내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjODEjJDEjJDIjJDgz
